top,rule,category,detail
ESSENTIAL,ATT\*BILL PAYMENT,bills,phone
ESSENTIAL,CHEWY.COM,Daisy,
ESSENTIAL,COMCAST,Bills,Internet
ESSENTIAL,COMED,Bills,Utilities
ESSENTIAL,COSTCO,Food,Grocery Store
ESSENTIAL,FREETAXUSA.COM,Bills,Taxes
ESSENTIAL,GEICO,Car,Insurance
ESSENTIAL,HUNTINGTON BANKS,Car,Car Payment
ESSENTIAL,IRS  USATAXPYMT,Bills,Taxes
ESSENTIAL,JET BRITE,Car,Improvement
ESSENTIAL,JEWEL OSCO \d+,Food,Grocery Store
ESSENTIAL,KRISERS NAT PET,Daisy,
ESSENTIAL,LIBERTY MUTUAL,House,Insurance
ESSENTIAL,LOMBARD DIST 44 LUNCH PRO,Food,
ESSENTIAL,LOMBARD GAS STATION,Car,Gas
ESSENTIAL,LOMBARD VETERINARY,Daisy,
ESSENTIAL,MARIANOS,Food,Grocery Store
ESSENTIAL,Morgan Stanley   ACH DEBIT,Investment,
ESSENTIAL,NICOR GAS BILL,Bills,Utilities
ESSENTIAL,Oberweis,Food,Specialty
ESSENTIAL,PAYPAL \*VILLAGELOMB,Bills,Utilities
ESSENTIAL,SHELL OIL,Car,Gas
ESSENTIAL,TRUIST,House,Mortgage
ESSENTIAL,WASTE MANAGEMENT INTERNET,Bills,Utilities
LIFESTYLE,Subway \d+,food,family
IGNORE,AUTOMATIC PAYMENT,,
IGNORE,TEMPUS LAB DIR DEP,,
IGNORE,CHASE CREDIT CRD AUTOPAY,,
IGNORE,INTEREST PAYMENT,,
